YEAR,Coach,Faculty
2010,82,5315
2011,90,5563
2012,100,5631
2013,121,5621
2014,133,5756
2015,143,6468
2016,138,5928
2017,148,5796
2018,158,5860
2019,168,5927
2020,140,5694
2021,189,5645
2022,187,6711
2023,203,6041
2024,153,5247
