YEAR,Coach,Faculty
2010,0.0,0.0
2011,9.756097560975618,4.666039510818432
2012,11.111111111111116,1.22236203487327
2013,20.999999999999996,-0.17758835020422747
2014,9.917355371900815,2.4017078811599424
2015,7.518796992481214,12.369701181375948
2016,-3.4965034965035002,-8.34879406307978
2017,7.246376811594213,-2.2267206477732837
2018,6.756756756756754,1.104209799861966
2019,6.329113924050622,1.143344709897609
2020,-16.666666666666664,-3.9311624768010756
2021,35.00000000000001,-0.8605549701440118
2022,-1.0582010582010581,18.88396811337467
2023,8.55614973262031,-9.983609000149007
2024,-24.630541871921185,-13.143519284886606
